,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Ek2uj8,$600 Lizard Shoes,6.9,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,"It’s all about Stylin’ and Profilin’. We’re talking about the Rolex wearin’, kiss stealin’, wheelin’ dealin’, limousine ridin’, jet flyin’ son of a gun. “You’ve got to make the assault on life itself! WOOOOO!”",
1,mZsdU6,2020 IPA,7.4,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,"For the Spring 2014 Release in our Custom IPA Series we’ve partnered with the LA River Revitalization Corp to brew 2020 IPA—a dark red IPA, with a rich pine aroma, light roast, all balanced by a hearty hop bitterness.  2020 IPA celebrates the Greenway 2020 Project, which will connect 51 miles of the LA River—transforming it from a neglected, concrete riverbed to a connected, public green space by the year 2020. 

Track the progress at LA River Corp.",https://s3.amazonaws.com/brewerydbapi/beer/mZsdU6/upload_tnJ2xz-medium.png
2,9cK1Cg,2nd Anniversary Ale,7.5,74,1.074,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",Cold - (4-7C/39-45F),,,https://s3.amazonaws.com/brewerydbapi/beer/9cK1Cg/upload_VpscaE-medium.png
3,hfU2vq,Angel's Trumpet,7.7,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,"Tropical Hop Nose, Hazy Body, Sharp Hop.Bitterness is Cut by Semi Sweet Malt Bpdy",https://s3.amazonaws.com/brewerydbapi/beer/hfU2vq/upload_ZyCysJ-medium.png
4,iqx0lo,Angel's Trumpet,7,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,We aged our regular version of Mango IPA for four months in Mezcal Barrels before adding 5 pounds of dry hopping to rejuvenate the nose. This complex beer is the best of both worlds: Hoppy and Barrel Aged.,
5,OY83Xt,Barking Irons IPA,7.5,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,,
6,jOcjr1,Barreled,6.9,74,,,3.0,North American Origin Ales,37.0,American-Style Brown Ale,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",,,"An American style Brown Ale, medium bodied with notes of toffee, toasted bread, burnt sugar and smooth nutty finish. Unbelievably clean for all it’s complexity. Grab a pint and get Barreled.  A collaboration with our friends at Malibu's.",
7,UY2Ujm,Batch 300,7,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,"In celebration of the 300th batch at our Minneapolis brewery, we decided to brew a one-time only beer for our Garage Series. And since so many of those 300 batches have been IPAs, why not celerbate with an IPA? Batch 300 is built on a base of Weyermann Pilsner malt, and heavily hopped from start to finish with Mosaic, one of our favorite new American hop varieties. At 74 IBU and just under 7% ABV, Batch 300 will delight your palate without wearing it out.",
8,UO3PLw,Breakside IPA,6.4,74,,,3.0,North American Origin Ales,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",,,"Breakside’s most popular offering is this beautifully clear India Pale Ale featuring the unique character of Citra and Chinook hops. This light copper beer has huge citrus and tropical fruit aromas with hints of perfume and pine. Flavors like apricot, guava, and orange hit the tongue accompanied by a mild evergreen note. There’s just enough caramel sweetness to balance the hop flavors, but this is really a showcase for the beautiful varieties of hops grown here in the Northwest. Like all Breakside beers, this has a notably dry finish and, in true IPA form, a restrained but persistent bitterness. It’s one of the most drinkable IPAs around!

Our flagship beer. A distinctive interpretation of a Northwest classic.",https://s3.amazonaws.com/brewerydbapi/beer/UO3PLw/upload_4fJGUR-medium.png
9,fXMLrS,Catherine the Great,8.1,74,,,3.0,North American Origin Ales,31.0,Imperial or Double India Pale Ale,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",Cool - (8-12C/45-54F),,A golden colored medium body “Imperialistic” IPA that starts off with a massive grapefruit nose and continues with smooth malt backbone and a big punch of citrus and grapefruit zest.,
