styleId  style_name                                                
1.0      Classic English-Style Pale Ale                                  76
2.0      English-Style India Pale Ale                                   106
3.0      Ordinary Bitter                                                 62
4.0      Special Bitter or Best Bitter                                   43
5.0      Extra Special Bitter                                           184
6.0      English-Style Summer Ale                                        29
7.0      Scottish-Style Light Ale                                        33
8.0      Scottish-Style Heavy Ale                                        81
9.0      Scottish-Style Export Ale                                       23
10.0     English-Style Pale Mild Ale                                     53
11.0     English-Style Dark Mild Ale                                     37
12.0     English-Style Brown Ale                                        142
13.0     Old Ale                                                         72
14.0     Strong Ale                                                     112
15.0     Scotch Ale                                                     141
16.0     British-Style Imperial Stout                                    63
17.0     British-Style Barley Wine Ale                                   55
18.0     Brown Porter                                                   438
19.0     Robust Porter                                                  257
20.0     Sweet or Cream Stout                                           241
21.0     Oatmeal Stout                                                  228
22.0     Irish-Style Red Ale                                            233
23.0     Classic Irish-Style Dry Stout                                  103
24.0     Foreign (Export)-Style Stout                                    58
25.0     American-Style Pale Ale                                       1347
26.0     Fresh "Wet" Hop Ale                                             48
27.0     Pale American-Belgo-Style Ale                                   31
28.0     Dark American-Belgo-Style Ale                                   14
29.0     American-Style Strong Pale Ale                                  54
30.0     American-Style India Pale Ale                                 2421
31.0     Imperial or Double India Pale Ale                              979
32.0     American-Style Amber/Red Ale                                   685
33.0     Imperial Red Ale                                               141
34.0     American-Style Barley Wine Ale                                 196
35.0     American-Style Wheat Wine Ale                                   30
36.0     Golden or Blonde Ale                                           549
37.0     American-Style Brown Ale                                       491
38.0     Smoke Porter                                                    39
39.0     Brett Beer                                                      24
40.0     American-Style Sour Ale                                        158
41.0     American-Style Black Ale                                       274
42.0     American-Style Stout                                           378
43.0     American-Style Imperial Stout                                  447
44.0     Specialty Stouts                                               120
45.0     German-Style Kölsch / Köln-Style Kölsch                        244
46.0     Berliner-Style Weisse (Wheat)                                  107
47.0     Leipzig-Style Gose                                              40
48.0     South German-Style Hefeweizen / Hefeweissbier                  340
49.0     South German-Style Kristall Weizen / Kristall Weissbier          9
50.0     German-Style Leichtes Weizen / Weissbier                        19
51.0     South German-Style Bernsteinfarbenes Weizen / Weissbier          5
52.0     South German-Style Dunkel Weizen / Dunkel Weissbier             68
53.0     South German-Style Weizenbock / Weissbock                       32
54.0     Bamberg-Style Weiss (Smoke) Rauchbier (Dunkel or Helles)        20
55.0     German-Style Altbier                                           109
56.0     Kellerbier (Cellar beer) or Zwickelbier - Ale                    9
57.0     Belgian-Style Flanders Oud Bruin or Oud Red Ales                35
58.0     Belgian-Style Dubbel                                           131
59.0     Belgian-Style Tripel                                           199
60.0     Belgian-Style Quadrupel                                         71
61.0     Belgian-Style Blonde Ale                                       151
62.0     Belgian-Style Pale Ale                                         172
63.0     Belgian-Style Pale Strong Ale                                   78
64.0     Belgian-Style Dark Strong Ale                                  129
65.0     Belgian-Style White (or Wit) / Belgian-Style Wheat             348
66.0     Belgian-Style Lambic                                             4
67.0     Belgian-Style Gueuze Lambic                                      1
68.0     Belgian-Style Fruit Lambic                                      13
69.0     Belgian-Style Table Beer                                        14
70.0     Other Belgian-Style Ales                                       149
71.0     French-Style Bière de Garde                                     41
72.0     French & Belgian-Style Saison                                  663
73.0     International-Style Pale Ale                                    16
74.0     Australian-Style Pale Ale                                        9
75.0     German-Style Pilsener                                          174
76.0     Bohemian-Style Pilsener                                        123
77.0     German-Style Leichtbier                                          5
78.0     Münchner (Munich)-Style Helles                                 106
79.0     Dortmunder / European-Style Export                              34
80.0     Vienna-Style Lager                                              90
81.0     German-Style Märzen                                            133
82.0     German-Style Oktoberfest / Wiesen (Meadow)                      56
83.0     European-Style Dark / Münchner Dunkel                           44
84.0     German-Style Schwarzbier                                        77
85.0     Bamberg-Style Märzen Rauchbier                                   5
86.0     Bamberg-Style Helles Rauchbier                                   4
87.0     Bamberg-Style Bock Rauchbier                                     4
88.0     Traditional German-Style Bock                                   71
89.0     German-Style Heller Bock/Maibock                               100
90.0     German-Style Doppelbock                                         92
91.0     German-Style Eisbock                                             6
92.0     Kellerbier (Cellar beer) or Zwickelbier - Lager                 19
93.0     American-Style Lager                                           214
94.0     American-Style Light (Low Calorie) Lager                        33
95.0     American-Style Low-Carbohydrate Light Lager                      3
96.0     American-Style Amber (Low Calorie) Lager                         8
97.0     American-Style Premium Lager                                    75
98.0     American-Style Pilsener                                        179
99.0     American-Style Ice Lager                                         1
100.0    American-Style Malt Liquor                                       5
101.0    American-Style Amber Lager                                      61
102.0    American-Style Märzen / Oktoberfest                            127
103.0    American-Style Dark Lager                                       41
104.0    Baltic-Style Porter                                             81
105.0    Australasian, Latin American or Tropical-Style Light Lager      11
106.0    International-Style Pilsener                                    28
107.0    Dry Lager                                                        1
108.0    Session Beer                                                   132
109.0    American-Style Cream Ale or Lager                              168
110.0    California Common Beer                                          65
111.0    Ginjo Beer or Sake-Yeast Beer                                    2
112.0    Light American Wheat Ale or Lager with Yeast                   287
113.0    Light American Wheat Ale or Lager without Yeast                 75
114.0    Fruit Wheat Ale or Lager with or without Yeast                  85
115.0    Dark American Wheat Ale or Lager with Yeast                     20
116.0    Dark American Wheat Ale or Lager without Yeast                  10
117.0    Rye Ale or Lager with or without Yeast                         160
118.0    German-Style Rye Ale (Roggenbier) with or without Yeast         22
119.0    Fruit Beer                                                     203
120.0    Field Beer                                                      17
121.0    Pumpkin Beer                                                   169
122.0    Chocolate / Cocoa-Flavored Beer                                 37
123.0    Coffee-Flavored Beer                                            99
124.0    Herb and Spice Beer                                            281
125.0    Specialty Beer                                                 247
126.0    Specialty Honey Lager or Ale                                    50
127.0    Gluten-Free Beer                                                22
128.0    Indigenous Beer (Lager or Ale)                                   5
129.0    Smoke Beer (Lager or Ale)                                       62
130.0    Experimental Beer (Lager or Ale)                                26
131.0    Historical Beer                                                 18
132.0    Wood- and Barrel-Aged Beer                                     119
133.0    Wood- and Barrel-Aged Pale to Amber Beer                         9
134.0    Wood- and Barrel-Aged Dark Beer                                 43
135.0    Wood- and Barrel-Aged Strong Beer                               67
136.0    Wood- and Barrel-Aged Sour Beer                                 43
137.0    Aged Beer (Ale or Lager)                                        10
138.0    Other Strong Ale or Lager                                       20
139.0    Non-Alcoholic (Beer) Malt Beverages                              2
142.0    Sweet Mead                                                       2
147.0    Braggot                                                         16
148.0    Open Category Mead                                               1
149.0    Common Cider                                                     4
150.0    English Cider                                                    2
155.0    Fruit Cider                                                      3
157.0    Other Specialty Cider or Perry                                   4
158.0    American-Style Imperial Porter                                  73
159.0    Adambier                                                         1
160.0    Grodziskie                                                       9
161.0    Flavored Malt Beverage                                           5
163.0    Double Red Ale                                                  15
164.0    Session India Pale Ale                                         146
165.0    Contemporary Gose                                               47
166.0    Dutch-Style Kuit, Kuyt or Koyt                                   1
167.0    Belgian-style Fruit Beer                                         3
168.0    Chili Pepper Beer                                               16
169.0    Mixed Culture Brett Beer                                         1
170.0    Wild Beer                                                       20
Name: style_name, dtype: int64
In [92]:

True
beer_nostyle = beer[beer['styleId'].isnull() == True]
beer_nostyle.head()
Out[92]:
